Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.333386,-0.739726,0.584516,-4.15726,-9.25165,7.30576
-0.362802,-0.707438,0.606553,-4.53002,-8.84497,7.58256
-0.378177,-0.73232,0.566295,-4.72289,-9.15706,7.07761
-0.42837,-0.81392,0.392471,-5.35424,-10.1738,4.90662
-0.597617,-0.763818,0.243796,-7.47341,-9.54595,3.04512
-0.560053,-0.78318,0.270128,-7.00195,-9.7892,3.37554
-0.592106,-0.75137,0.291297,-7.40192,-9.39171,3.64107
-0.682241,-0.476117,0.554851,-8.5287,-5.95074,6.93542
-0.70234,-0.431074,0.566475,-8.77932,-5.38911,7.08032
-0.718231,-0.45679,0.524869,-8.97746,-5.70969,6.5616
-0.697474,-0.501117,0.512261,-8.72039,-6.26246,6.40206
-0.554852,-0.682241,0.476115,-6.93542,-8.5287,5.95072
-0.583538,-0.644302,0.494326,-7.29311,-8.05411,6.17995
-0.595846,-0.665552,0.449454,-7.44827,-8.32077,5.61586
-0.628543,-0.731452,0.264408,-7.86165,-9.14115,3.29904
-0.749609,-0.651571,0.11637,-9.36475,-8.14986,1.45987
-0.723279,-0.67591,0.14147,-9.03864,-8.45094,1.7705
-0.749384,-0.642373,0.160563,-9.3655,-8.03227,2.00501
-0.739729,-0.584514,0.333384,-9.25164,-7.30577,4.15726
-0.763418,-0.543915,0.348352,-9.54602,-6.7999,4.34566
-0.769294,-0.561433,0.304924,-9.61925,-7.01526,3.80869
-0.774713,-0.617637,0.135442,-9.68121,-7.7225,1.69915
-0.0913354,-0.774233,-0.626276,-1.14277,-9.67681,-7.82965
-0.135441,-0.774714,-0.617636,-1.69915,-9.68121,-7.7225
-0.749609,-0.651571,-0.11637,-9.36475,-8.14986,-1.45987
-0.774235,-0.626274,-0.0913332,-9.67681,-7.82965,-1.14277
-0.774713,-0.617637,-0.135442,-9.68121,-7.7225,-1.69915
-0.749383,-0.642372,-0.16057,-9.3655,-8.03227,-2.00501
-0.597613,-0.763819,-0.2438,-7.47342,-9.54595,-3.04512
