"Points:0","Points:1","Points:2"
-2.2149,7.8761,-6.4642
-2.2121,7.8761,-6.5068
-2.2216,7.8943,-6.4842
-2.2317,7.9101,-6.4236
-2.2248,7.8931,-6.4106
-2.209,7.8545,-6.434
-2.2162,7.8686,-6.3985
-2.2109,7.8523,-6.3992
-2.206,7.8356,-6.3996
-2.1977,7.8049,-6.4094
-2.2043,7.8166,-6.3648
-2.1909,7.7779,-6.4257
-2.201,7.7875,-6.3458
-2.2097,7.8142,-6.2964
-2.2074,7.7939,-6.2889
-2.2151,7.8138,-6.2292
-2.2154,7.8316,-6.2622
-2.2168,7.849,-6.2962
-2.221,7.8496,-6.2281
-2.2229,7.8663,-6.2617
-2.2261,7.8829,-6.295
-2.2196,7.8667,-6.3287
-2.23,7.8983,-6.3286
-2.2366,7.9137,-6.2949
-2.2322,7.8991,-6.2611
-2.2374,7.9146,-6.2613
-2.2494,7.9454,-6.266
-2.2495,7.9446,-6.3048
-2.2557,7.9599,-6.257
-2.2628,7.9725,-6.2853
-2.2684,7.9873,-6.2397
-2.2784,8.0025,-6.2659
-2.2738,7.9902,-6.312
-2.2565,7.9581,-6.334
-2.2689,7.9788,-6.3587
-2.2896,8.0123,-6.3348
-2.2925,8.0217,-6.2912
-2.3059,8.0363,-6.3214
-2.3,8.0221,-6.377
-2.2809,7.9956,-6.3862
-2.2884,8.0045,-6.4071
-2.2718,7.9799,-6.4391
-2.2599,7.9624,-6.4109
-2.2616,7.9645,-6.472
-2.2505,7.947,-6.4643
-2.2402,7.9282,-6.4438
-2.2299,7.9131,-6.5053
-2.2389,7.9306,-6.5291
-2.251,7.9489,-6.5063
-2.2516,7.9515,-6.5504
-2.2728,7.9802,-6.4924
-2.2738,7.9812,-6.5445
-2.293,8.0061,-6.4809
-2.2977,8.0093,-6.539
-2.2818,7.9909,-6.5752
-2.3107,8.021,-6.5943
-2.3193,8.0315,-6.5361
-2.3359,8.0438,-6.5918
-2.3252,8.0329,-6.6516
-2.3422,8.0479,-6.6152
-2.3468,8.0494,-6.6829
-2.3223,8.0302,-6.6983
-2.2961,8.0069,-6.6914
-2.3038,8.0138,-6.6408
-2.2836,7.9933,-6.6317
-2.2758,7.9862,-6.6809
-2.2581,7.9651,-6.6604
-2.2661,7.9728,-6.612
-2.2428,7.9427,-6.6213
-2.2585,7.9621,-6.5809
-2.2263,7.9153,-6.597
-2.2169,7.9078,-6.666
-2.203,7.8799,-6.6436
-2.1977,7.8803,-6.7017
-2.1809,7.848,-6.7075
-2.1954,7.8615,-6.6281
-2.1788,7.8334,-6.671
-2.1687,7.8176,-6.7028
-2.1594,7.8169,-6.7724
-2.1746,7.8494,-6.7662
-2.1632,7.8338,-6.7982
-2.1682,7.8517,-6.826
-2.1926,7.8814,-6.7573
-2.1871,7.8835,-6.8172
-2.2075,7.9099,-6.7859
-2.2123,7.9084,-6.7253
-2.2354,7.9424,-6.7379
-2.2373,7.9499,-6.79
-2.2497,7.958,-6.7109
-2.2675,7.9796,-6.7328
-2.255,7.972,-6.8143
-2.288,8.0026,-6.7888
-2.2922,8.0044,-6.7396
-2.3193,8.028,-6.7457
-2.3158,8.0265,-6.7979
-2.3517,8.0521,-6.7536
-2.3679,8.0637,-6.7018
-2.3728,8.07,-6.6249
-2.399,8.0848,-6.6554
-2.4053,8.0933,-6.5888
-2.3815,8.0785,-6.5845
-2.3749,8.0774,-6.5434
-2.4135,8.1041,-6.5304
-2.4375,8.1147,-6.5545
-2.4389,8.1208,-6.5116
-2.4644,8.1307,-6.5319
-2.4651,8.1253,-6.5763
-2.4331,8.1059,-6.6194
-2.4622,8.1174,-6.6412
-2.428,8.0985,-6.6877
-2.4603,8.1128,-6.6894
-2.4888,8.127,-6.6486
-2.4944,8.1343,-6.5985
-2.505,8.1347,-6.627
-2.5347,8.1441,-6.622
-2.514,8.144,-6.5752
-2.5562,8.156,-6.5734
-2.5572,8.1512,-6.6085
-2.5766,8.1504,-6.6439
-2.5349,8.1402,-6.6562
-2.5736,8.1442,-6.6936
-2.5971,8.1496,-6.6748
-2.598,8.1451,-6.7152
-2.577,8.1407,-6.734
-2.5522,8.1353,-6.7496
-2.5351,8.1366,-6.6919
-2.5126,8.1263,-6.7487
-2.5291,8.1266,-6.8102
-2.505,8.1214,-6.7976
-2.4632,8.109,-6.779
-2.4683,8.1092,-6.8209
-2.4968,8.117,-6.8502
-2.4405,8.0982,-6.8556
-2.4433,8.1004,-6.8054
-2.415,8.0875,-6.838
-2.4193,8.0902,-6.7901
-2.4582,8.1089,-6.7391
-2.4238,8.0939,-6.7384
-2.3843,8.0724,-6.7704
-2.379,8.0691,-6.8217
-2.3652,8.0609,-6.7877
-2.3444,8.048,-6.8355
-2.3468,8.051,-6.8861
-2.3772,8.0689,-6.8902
-2.3566,8.0598,-6.9646
-2.3868,8.076,-6.9765
-2.3687,8.0707,-7.0627
-2.3238,8.0442,-7.037
-2.3126,8.0315,-6.9559
-2.2816,8.0141,-7.0271
-2.2877,8.0269,-7.1184
-2.3302,8.0548,-7.1335
-2.2868,8.0337,-7.1963
-2.2447,8.0114,-7.2656
-2.247,8.0021,-7.1728
-2.2049,7.9728,-7.2286
-2.1997,7.9918,-7.3902
-2.1634,7.9511,-7.3489
-2.1815,7.9464,-7.2102
-2.2111,7.9643,-7.1297
-2.2489,7.9955,-7.1039
-2.2473,7.9871,-7.0424
-2.2158,7.9587,-7.0576
-2.2445,7.9799,-7.0012
-2.2155,7.951,-7.005
-2.1885,7.921,-7.0145
-2.1764,7.9201,-7.0948
-2.1611,7.8954,-7.071
-2.1662,7.8862,-6.9924
-2.1876,7.9069,-6.9403
-2.2153,7.9439,-6.9547
-2.2094,7.9275,-6.8892
-2.1812,7.8866,-6.882
-2.2083,7.9182,-6.8352
-2.2324,7.9504,-6.8507
-2.242,7.9661,-6.8971
-2.2653,7.9846,-6.8416
-2.2806,8.0005,-6.8668
-2.257,7.9835,-6.9224
-2.2928,8.0129,-6.8972
-2.3123,8.0256,-6.8491
-2.3188,8.0324,-6.8917
-2.2727,7.9999,-6.9476
-2.2769,8.0067,-6.9858
-2.1644,7.8622,-6.8983
-2.1565,7.8617,-6.9527
-2.1739,7.8861,-6.9356
-2.1415,7.8519,-7.0166
-2.1505,7.8736,-7.0433
-2.1149,7.814,-7.0621
-2.1325,7.8257,-6.9858
-2.0939,7.7848,-7.1128
-2.0886,7.7531,-7.0766
-2.0746,7.7554,-7.1634
-2.1489,7.8374,-6.9147
-2.1464,7.8937,-7.1589
-2.1614,7.9203,-7.1933
-2.1401,7.9167,-7.3072
-2.1129,7.9015,-7.3999
-2.1293,7.9289,-7.4326
-2.1478,7.9556,-7.4664
-2.1066,7.923,-7.5362
-2.1057,7.9399,-7.6231
-2.0824,7.92,-7.661
-2.0802,7.9362,-7.7462
-2.0588,7.8964,-7.6953
-2.0904,7.8906,-7.4869
-2.0945,7.872,-7.3868
-2.2415,8.029,-7.4336
-2.2859,8.0427,-7.2938
-2.2723,8.053,-7.4807
-2.3323,8.0704,-7.3239
-2.331,8.062,-7.2225
-2.3819,8.0821,-7.1646
-2.3728,8.0904,-7.3695
-2.4097,8.0981,-7.2789
-2.4424,8.1045,-7.1994
-2.4436,8.1026,-7.1279
-2.4762,8.1122,-7.1853
-2.4811,8.1115,-7.0904
-2.4448,8.1012,-7.0599
-2.4054,8.0871,-7.0612
-2.4187,8.0903,-6.9887
-2.4521,8.1024,-6.996
-2.4659,8.1066,-6.9211
