Point ID,Points_0,Points_1,Points_2
31403,37520.4,80584.4,39254.6
31404,37611,80895.2,39202.1
31405,37635.9,80679.2,39022.1
31406,37588.2,80398.7,38995.3
31407,37737,80599.1,38719
31408,37657.9,80189.7,38708.1
31409,37791.6,80344.8,38427.4
31410,37722,79985.2,38430.5
31411,37601.6,79839.4,38695.1
31412,37529.5,80040.5,38973.9
31413,37488,79713.4,38944.5
31414,37539.9,79466.4,38713.6
31415,37440.1,80221.9,39274.9
31416,37657,79673.1,38470.2
31417,37639.3,79358.2,38393.5
31418,37771.7,79694.1,38150.3
31419,37744.7,79255.9,38041.4
31420,37645.4,78973.1,38241.1
31421,37537.9,79039.2,38578.2
31422,37544.6,78638.5,38448
31423,37655.2,78678.5,38121.6
31424,37619.9,78339.4,38149.1
31425,37734.9,78544,37830.7
31426,37742.8,78193.4,37716
31427,37841.1,78437.2,37443.8
31428,37816,78132.4,37449.9
31429,37913.9,78189.9,37121.3
31430,37844.8,77878.1,37299.7
31431,37916.1,77881.3,37045.6
31432,37975,78056.2,36871.8
31433,38035.7,78369.1,36748.4
31434,38056.8,78033.6,36572.8
31435,37985.5,77751.8,36773.4
31436,38062.6,77745.3,36489.4
31437,38145,77936.6,36234.7
31438,38117.4,77565.3,36263
31439,38030.9,77509.1,36574.2
31440,38068.4,77215.2,36421.2
31441,38177.1,77262.8,36017.5
31442,38137.2,76978.4,36166.7
31443,38205.9,76957.9,35907
31444,38177.3,76664.3,36042.6
31445,38256.4,76522.1,35762.9
31446,38333.4,76367.6,35506
31447,38228.3,76313.4,35918.8
31448,38307.2,75931.6,35742.7
31449,38393.9,75958.7,35408.7
31450,38482.2,75925.7,35110.2
31451,38481.9,75622.1,35242.9
31452,38580.9,75763.5,34839.6
31453,38610.3,75308.3,34969.2
31454,38507.9,75278.8,35343.8
31455,38382.1,75562.1,35632.8
31456,38433.9,75228.9,35642.9
31457,38327.3,75311.2,35991.9
31458,38289.6,75661,35933.5
31459,38209.1,75954.6,36115.1
31460,38210.6,75581.8,36287.6
31461,38130.1,75863.9,36468.9
31462,38112.5,76311.2,36373.6
31463,38073.8,76773.9,36427.9
31464,38002.5,76513.7,36753.6
31465,37979.4,76965.4,36767.2
31466,37965.2,77374.1,36810.9
31467,37886.2,77121.6,37109.4
31468,37876.8,77560.2,37148
31469,37793,77327.1,37447.4
31470,37801.8,77629.9,37424.1
31471,37706.7,77540,37755.3
31472,37714.2,77105.5,37747.9
31473,37633.3,77263.6,38016.1
31474,37587.2,77568.5,38162
31475,37664.8,77905.2,37928.6
31476,37763.1,77887.9,37588.9
31477,37521.9,77949.1,38397.7
31478,37506.9,78309.6,38493.2
31479,37427.8,78118.5,38705.4
31480,37437.7,78460.9,38725.2
31481,37319.3,77945.6,39018
31482,37413.9,77757.8,38723.1
31483,37320.4,77565.5,39013.1
31484,37216.1,77741.3,39327.5
31485,37094.1,77926.5,39695.1
31486,37127.3,77551.9,39613.6
31487,37225.8,77358.5,39322.9
31488,37118.1,77188,39693.4
31489,37028.9,77532.7,39928.1
31490,36988.6,77122.4,40147.3
31491,36905.2,77553.9,40335.9
31492,36972.2,77843.5,40077.3
31493,37010.3,78145.3,39944.4
31494,36919.7,78145.5,40220.9
31495,36878.8,77896.4,40374.1
31496,36804.7,78149.3,40586.3
31497,36809,77797.2,40623.5
31498,36722.5,77961.3,40891.4
31499,36696.3,78325,40915.3
31500,36621.7,78148.1,41196.9
31501,36605.5,78486.4,41180.2
31502,36583.6,78870,41195.7
31503,36493,78708,41480.6
31504,36477.1,79058.6,41477.8
31505,36381,78885.2,41767.2
31506,36368.6,79192.2,41757
31507,36464.6,79479.5,41498.4
31508,36593.5,79240.2,41155.1
31509,36596,79562.5,41165.8
31510,36540.1,79864,41341.9
31511,36413.1,79765.8,41644.9
31512,36441.1,80059.4,41612.8
31513,36561,80231.9,41359.8
31514,36479.2,80426.6,41600
31515,36341.2,80267.2,41890.7
31516,36384.3,80612.4,41870.4
31517,36257.9,80469.4,42132.4
31518,36215.5,80118.9,42169.5
31519,36120.8,80321.8,42445.2
31520,36146.3,80714.5,42462.4
31521,36048.3,80441.2,42668.3
31522,36021.5,80697.3,42795.2
31523,35955.9,80404,42964.4
31524,35935.3,80691,43068.5
31525,35977.9,81004.5,42987
31526,36105.9,81009.4,42639.7
31527,36087.9,81302.9,42773.8
31528,36184,81258.5,42529.4
31529,36225.2,81022.4,42360.1
31530,36302,80830.8,42125.9
31531,36347,81115.9,42114.7
31532,36300,81320.9,42294.3
31533,36229.5,81571.1,42537
31534,36053.9,81662.4,42970
31535,35980.3,81324.7,43059.3
31536,35904.7,81513.2,43336.5
31537,35964.5,81885.8,43278.3
31538,36097.3,82029.4,43001.5
31539,36212.9,81984.5,42731.2
31540,36203.6,82347.3,42898.5
31541,36038.2,82254.5,43232.5
31542,36096.3,82590.1,43237.2
31543,35941.1,82468,43566.1
31544,36010.8,82826.6,43555.1
31545,35873.5,82592.3,43833.9
31546,35906.2,82951.3,43935.5
31547,36015.8,83134,43719.8
31548,36125.7,83206.4,43480
31549,36185.9,82993.9,43228
31550,36274,83356.5,43229.4
31551,36342.4,83150.9,42973.4
31552,36291,82779.7,42904.1
31553,36464.8,83025.6,42660.7
31554,36426.5,82627.3,42560.9
31555,36591.7,82948,42375.2
31556,36710.1,83182.2,42252.2
31557,36595.1,83221.8,42492.2
31558,36489,83296,42741.8
31559,36443.9,83557.9,42977.7
31560,36346.8,83725.2,43289.2
31561,36181.7,83505.8,43527.7
31562,36227.7,83755.2,43586
31563,36316.1,83956.7,43520.1
31564,36385.9,84245.8,43575.4
31565,36216.4,83989.6,43797.4
31566,36297.2,84336.5,43893.2
31567,36469.8,84538.5,43620.9
31568,36599.2,84692.2,43446.6
31569,36570.7,84848.3,43666.6
31570,36419.4,84640.3,43857.6
31571,36447.6,84878.9,44047.4
31572,36623.4,85169.3,43885.6
31573,36509.2,85184,44254.5
31574,36673,85432,44087
31575,36862,85710.4,43941.6
31576,36743.4,85704.7,44276
31577,36571.1,85442.6,44436.6
31578,36635,85666.3,44586.2
31579,36491.8,85480.9,44854.3
31580,36650.8,85837.2,44864
31581,36785.9,85929.3,44503
31582,36813.4,86137.4,44798.1
31583,36709.9,86082.9,45193.9
31584,36533.9,85687.2,45161.7
31585,36551.4,85796.2,45457.5
31586,36461.2,85563.2,45390.3
31587,36463.3,85589.2,45642.1
31588,36551.2,85817.5,45784.2
31589,36471,85584.2,45944.7
31590,36563.2,85817.8,46097.2
31591,36658.8,86085.3,45905.8
31592,36665.1,86074.2,46231.6
31593,36762.2,86339.6,46060.3
31594,36771.6,86345.3,45767.4
31595,36659.3,86061.6,45579.9
31596,36817.8,86382.2,45444.9
31597,36927.6,86439.7,44996.2
31598,36987.4,86675.9,45337.7
31599,37154.7,86824.1,45017.3
31600,37193.4,87039.8,45398
31601,37012.9,86842.5,45765.3
31602,36892.2,86579.4,45639.4
31603,36870,86576.3,45913.4
31604,36950.9,86768.8,46121.7
31605,37077.9,87015.1,46014
31606,37223.5,87219.7,45760.2
31607,37178.9,87236,46142
31608,37052.1,86994.1,46297.1
31609,37169.7,87254.5,46460.3
31610,37035.5,86944.2,46656.8
31611,37157,87215,46830.5
31612,37275.5,87492.7,46636.7
31613,37308.2,87515.1,46298.2
31614,37377.3,87693.3,46521.3
31615,37452.6,87785.9,46270.1
31616,37432.6,87672.4,46017
31617,37293,87415.6,45998.8
31618,37410,87523.7,45739.3
31619,37376.3,87356,45469.2
31620,37547.3,87633,45486.2
31621,37572.3,87792.8,45730.5
31622,37754.2,87935.6,45433.5
31623,37740.6,88090.1,45761.5
31624,37873.9,88194.1,45553.8
31625,37893.6,88337.9,45757
31626,38081.3,88440.9,45440.6
31627,37937.6,88167.2,45340.1
31628,38107.4,88282,45125.3
31629,38249.1,88483.4,45137.4
31630,38310.3,88354.4,44802.9
31631,38105,88124.5,44872.4
31632,37911.9,87974.5,45081.9
31633,38004.7,87932.7,44780.3
31634,38193,88053.2,44555.2
31635,37961.8,87750.5,44563.5
31636,37830.3,87732.1,44861
31637,37754.2,87511.9,44658.4
31638,37633.2,87503,44967.8
31639,37552.3,87280.3,44765.3
31640,37409.2,87234.4,45089.2
31641,37527,87478.3,45232.1
31642,37699.9,87718.4,45188.1
31643,37360.3,87025.4,44802.8
31644,37269.3,86823.8,44663.8
31645,37464.7,87031.1,44530.6
31646,37378.6,86793.7,44323.9
31647,37610.1,87056.3,44208.2
31648,37538.2,86827.9,43998.1
31649,37315,86545,44062.5
31650,37183,86587.2,44461.5
31651,37074.1,86326.2,44303.2
31652,36996.2,86394.8,44648.3
31653,37094.4,86599.5,44738.2
31654,36925.8,86170.6,44463.9
31655,36934.9,86019.8,44191.5
31656,37147.1,86242.4,43988.3
31657,37048.1,85953.8,43811.2
31658,37245.9,86174.6,43668.5
31659,37435,86389.4,43567.1
31660,37313,86383.2,43817.1
31661,37477.8,86595.9,43773.4
31662,37618.4,86598.8,43468.3
31663,37736.4,86592,43200.9
31664,37819.8,86820.9,43347.3
31665,37687.1,86837.9,43670.2
31666,37887.7,87073.1,43580.5
31667,38061.4,87101.1,43235
31668,38097.8,87337.9,43528.6
31669,38239.9,87372.5,43272.5
31670,38428.6,87562.7,43172.8
31671,38293.7,87563.7,43468.4
31672,38495.4,87787.5,43409.4
31673,38646.6,87819.3,43128.3
31674,38723.7,88047.3,43363
31675,38872.9,88066.6,43057.3
31676,39007.4,88069.6,42750.6
31677,39124.2,88313.6,42934.6
31678,38975.8,88331.7,43312.4
31679,39237.3,88555.1,43131.3
31680,39330.9,88516.9,42840
31681,39221.7,88272.3,42626.6
31682,39462.6,88505.6,42508.8
31683,39556,88732.4,42738
31684,39699.2,88749,42433.1
31685,39775.1,88967.4,42699.1
31686,39918.6,88987.1,42391.9
31687,39846,88769.1,42109
31688,39595.7,88499.5,42174.1
31689,39759.3,88530.8,41821.7
31690,39488.3,88232.1,41896.7
31691,39693.7,88301,41507.5
31692,39495.5,88084.4,41581.4
31693,39300.1,87930.9,41776.5
31694,39263.6,88038.8,42075.7
31695,39360.4,88260.1,42269.2
31696,39392.5,87876.3,41440.6
31697,39502.7,87845.6,41105.2
31698,39604.4,88083,41297.1
31699,39737.7,88087.8,40957
31700,39629.9,87825.7,40748.7
31701,39844.9,88062.3,40619.5
31702,39756.9,87818,40409.4
31703,39911.5,87879.7,40098
31704,39886.1,87663.1,39798.8
31705,40034.5,87935,39848.6
31706,40105.6,87835.9,39468.4
31707,40065.4,87594.8,39174.9
31708,40224.9,87854.1,39152.2
31709,40212.4,87647.9,38833.7
